id,title,company,location,job_type,salary,time_recorded,url
11d9cfdf62aff034,Senior Finance Data Analyst,"Tek Intelligence, Inc.","Jacksonville, FL",,,2023-07-13 22:08:42,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BxkLIcfe0oqaYINownie861a0BJtkzmJW-WyGv8J0JYC1BalQsVb8vm6GXOnJn5rnBeYRh_Otz7ubWJ_4NitLUKTCPjBBFgW-rEm5Li2NK3UwroC5iZkDgsWVbNkFMDJV8NP5vnJK59NOlnKDtU2VhxjUk8db1P-Ui72Zi3IMbDzEKeWWR8ik1yGPwETPguS_M1jKshemIlGqMiQwojXyNsmNF_AAkzr6I3F0SjIHtwguUki8WaqV4r-N3OnIS9fx67_fJGfill1PhvuBNNVnQwcPveG9cbtMCfGtX2w-dJ1vpgpI2I49Pg7v_1JCWXKDMA3UDqEXqhZnsIKXPewBXo9rCI1LBiTQQzW-F4J5Cw9zz2eG0Ay8mf6AV4kemlO_3_CEu_doZHvtq294qL1xzviKpgpqeAkt-YGBjaiq4_4OSX55h5EiK2REAfGgD8YrJUAPdPWSrvinIt-1vA7sBXPjbS-xyH6C57YDZiaJLCliE2Tu4fKLs_mIBn6T2iuQHo4dcIAgNFojcUFIogoxTxgy5pEzFFy4SaYVfDg0Ibw==&xkcb=SoDC-_M3NpRn5lQdkR0LbzkdCdPP&p=0&fvj=1&vjs=3
30f9d25192ff1d0c,Data Scientist,Four Hands,"Austin, TX 78744",,Estimated $102K - $129K a year,2023-07-13 22:08:47,https://www.indeed.com/rc/clk?jk=30f9d25192ff1d0c&fccid=a8851719c7ba7f98&vjs=3
385feaf1ccb207a3,"Data Scientist, Product Analytics",Meta,"Redmond, WA",,,2023-07-13 22:08:53,https://www.indeed.com/rc/clk?jk=385feaf1ccb207a3&fccid=ba07516c418dda52&vjs=3
31ba6569a8c1b644,Senior Data Scientist,Extend,Remote,,,2023-07-13 22:08:59,https://www.indeed.com/rc/clk?jk=31ba6569a8c1b644&fccid=d28b18be62aeef28&vjs=3
c83a975c9ecf98d8,Data Scientist,Veeco,"Remote in San Jose, CA",,,2023-07-13 22:09:05,https://www.indeed.com/company/Veeco/jobs/Data-Scientist-c83a975c9ecf98d8?fccid=0b051c1080005e4c&vjs=3
a7ad8fbbff5ba95d,"Data Scientist, Senior (Experimentation)",Veho,Remote,,,2023-07-13 22:09:11,https://www.indeed.com/rc/clk?jk=a7ad8fbbff5ba95d&fccid=578c2ce08a4e9823&vjs=3
7d96b5d6583de053,Data Scientist,Triple-S Steel,"Houston, TX 77026 
(Eastex - Jensen area)",,Estimated $103K - $130K a year,2023-07-13 22:09:15,https://www.indeed.com/rc/clk?jk=7d96b5d6583de053&fccid=71ce6fb088b35faf&vjs=3
80b9309315126177,Education Data Scientist,,"Pasadena, CA",,,2023-07-13 22:09:23,https://www.indeed.com/rc/clk?jk=80b9309315126177&fccid=dd616958bd9ddc12&vjs=3
15aaa9050d486064,Data Scientist,MASS MUTUAL FINANCIAL GROUP,"Boston, MA",,,2023-07-13 22:09:29,https://www.indeed.com/rc/clk?jk=15aaa9050d486064&fccid=430cffbf1c607717&vjs=3
6bbfa41aec23e3fd,Staff Data Scientist,Pinterest,Remote,,Estimated $194K - $245K a year,2023-07-13 22:09:33,https://www.indeed.com/rc/clk?jk=6bbfa41aec23e3fd&fccid=43014b1412e0a7b6&vjs=3
3326736407f6f507,Data Scientist/Data Analyst,Holman,"Hybrid remote in Mount Laurel, NJ 08054",,,2023-07-13 22:09:39,https://www.indeed.com/company/Holman/jobs/Data-Scientist-3326736407f6f507?fccid=28871a2dda2df201&vjs=3
d1c3510f0f8197c8,Data Scientist,Adaptive Phage Therapeutics,"Gaithersburg, MD 20878",,Estimated $96.4K - $122K a year,2023-07-13 22:09:44,https://www.indeed.com/rc/clk?jk=d1c3510f0f8197c8&fccid=01d1b77e2862836a&vjs=3
285bc8119482285f,Statistical Assistant,Staff Today Inc,"Albany, NY 12237",,,2023-07-13 22:09:50,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BpxkzNHT0rUUpJQhin0p-a3-e8JRpVGAswnErQpasv-d7cXzjSpM4Le8R_bpQMdCiAexLcxtd0RdB-zY1BKPcx7q9rswrmOM7s2oovppqbPeSu3HRhCsdHGPztrWe-NQzqAyZK-O1ufgJnfvJ4gx8fk5AjXGqowqT8Wmzr_fMm5BotBpdjpD9mlA8GjIqBEuj0xC4HetBOT6Y8oB8m1Q0sYqlnIGrzXED4Z_f76C4vMkrbsyOvehiNXQ5eyxdQz0f62GObsbRYEQsBhYIYrcUkd9Ty26Puqb8Cf_M7-p6yP_nk6aqH1s7AxdPYvUVNcqIzWW05EskfkL51KKzIiVVq8Dm6nRZAsDJMSDuOJ34i9DJU6yuZhtejOW2Ucr1ihTGz25YYPm-1WUn7-sESr5k-OhBqNOamfRsSGBxi8FhA_5qWNAgnz-37Ws1oIclUMze0JkeGfisw72H4mLEmJOI0O0SKRf3LwAPvMK6veJGhHB4uINeZlYr8C6Dl5EGjRvhaUXSPJ7qmIZ7c__1fmJsPUu7PPrSZkH-On8WtHeyOHwLf77JxIxR0iYb99RevknoZeWz3Af7cUa7stkgr4c3x&xkcb=SoC2-_M3NpRn5lQdkR0HbzkdCdPP&p=12&fvj=0&vjs=3
fc81cdfe57348569,Data Scientist,Argo Data,"Richardson, TX 75081",,,2023-07-13 22:09:56,https://www.indeed.com/company/Argo-Data/jobs/Data-Scientist-fc81cdfe57348569?fccid=6764c8c3b65d2636&vjs=3
f8f3c28873da9940,Data Scientist,"KTGY Group, Inc.","Hybrid remote in Irvine, CA 92614",,,2023-07-13 22:10:02,https://www.indeed.com/rc/clk?jk=f8f3c28873da9940&fccid=3362105a31d2b876&vjs=3
38f928f02309e38f,Data Scientist,PRIMUS GLOBAL SERVICES,Remote,,,2023-07-13 22:10:09,https://www.indeed.com/company/Primus-Global-Services/jobs/Data-Scientist-38f928f02309e38f?fccid=2c5d96385984684c&vjs=3
e1e18c20a95cccbf,Data Scientist,SSAB,"Axis, AL 36505",,Estimated $108K - $136K a year,2023-07-13 22:10:13,https://www.indeed.com/rc/clk?jk=e1e18c20a95cccbf&fccid=f4eda78c30846a55&vjs=3
d26cf41033f1e302,Junior Data Scientist - REMOTE,ACLED,"Remote in Washington, DC",,Estimated $59.5K - $75.4K a year,2023-07-13 22:10:18,https://www.indeed.com/rc/clk?jk=d26cf41033f1e302&fccid=10495d6c41c2ff72&vjs=3
8348ef64d6d58517,"Data Scientist, Services",StreetLight Data,Remote,,,2023-07-13 22:10:24,https://www.indeed.com/rc/clk?jk=8348ef64d6d58517&fccid=5f86e3a9a70cf700&vjs=3
75048d2e7efb415d,Data Scientist,eimagine,"Indianapolis, IN 46260 
(Nora-Far Northside area)",,Estimated $88.5K - $112K a year,2023-07-13 22:10:28,https://www.indeed.com/rc/clk?jk=75048d2e7efb415d&fccid=c97147e48ff1407a&vjs=3
dcec0a3fcd7b817a,Data Scientist,Neuberger Berman,"New York, NY",,,2023-07-13 22:10:34,https://www.indeed.com/rc/clk?jk=dcec0a3fcd7b817a&fccid=4983b5e32f963a34&vjs=3
8e2bcee9206c8a9e,Data Scientist,"Venesco, LLC",Remote,,,2023-07-13 22:10:40,"https://www.indeed.com/company/Venesco,-LLC/jobs/Data-Scientist-8e2bcee9206c8a9e?fccid=3207405afd0ca32f&vjs=3"
076015b8ee8e159b,Data Scientist,Violet Ink,"San Bruno, CA 94066",,,2023-07-13 22:10:46,https://www.indeed.com/company/Violet-Ink/jobs/Data-Scientist-076015b8ee8e159b?fccid=83297c5c158caf38&vjs=3
32a248dd33ae77df,Data Scientist,"Aurora Technical Systems, LLC",Remote,,,2023-07-13 22:10:52,https://www.indeed.com/rc/clk?jk=32a248dd33ae77df&fccid=32a12c443d68c9ff&vjs=3
df2178ae026751f8,Data Scientist,Measures for Justice,"Hybrid remote in Rochester, NY",,,2023-07-13 22:10:58,https://www.indeed.com/rc/clk?jk=df2178ae026751f8&fccid=58aac7d4a0aa0264&vjs=3
b66428260cc1024e,Senior Data Scientist,Intuit,"Mountain View, CA 94043",,Estimated $118K - $150K a year,2023-07-13 22:11:02,https://www.indeed.com/rc/clk?jk=b66428260cc1024e&fccid=9784ae78e9834539&vjs=3
f34a5ddfce2ecfc9,Sr. Data Scientist,TARGET,"Minneapolis, MN 55403 
(Downtown West area)",,,2023-07-13 22:11:08,https://www.indeed.com/rc/clk?jk=f34a5ddfce2ecfc9&fccid=15f43d82dc901ff2&vjs=3
969f9a3aba003ec3,Data Scientist,DSH,"Fort George G Meade, MD 20755",,,2023-07-13 22:11:14,https://www.indeed.com/company/DSH/jobs/Data-Scientist-969f9a3aba003ec3?fccid=62893855342bc884&vjs=3
8d41f9dbc59ea5db,Air Quality Data Scientist,Sonoma Technology,"Petaluma, CA 94954",,,2023-07-13 22:11:21,https://www.indeed.com/rc/clk?jk=8d41f9dbc59ea5db&fccid=4b37371ef41652f8&vjs=3
21ead1ae1cb83056,Data Scientist II,Lincoln Financial,"Hybrid remote in Boston, MA 02199",,,2023-07-13 22:11:27,https://www.indeed.com/rc/clk?jk=21ead1ae1cb83056&fccid=4d297a7bcd1c7be4&vjs=3
2cf3fd4a08c811e8,Sr. Data Scientist,virtusa,Remote,,,2023-07-13 22:11:34,https://www.indeed.com/company/Virtusa/jobs/Senior-Data-Scientist-2cf3fd4a08c811e8?fccid=146443e77d8c0778&vjs=3
8640fc466cb8eb98,Data Scientist,Transportation Impact,"Hybrid remote in Emerald Isle, NC",,Estimated $92.4K - $117K a year,2023-07-13 22:11:38,https://www.indeed.com/rc/clk?jk=8640fc466cb8eb98&fccid=c669e3c139bc6243&vjs=3
957040fbb5b8d090,"Data Scientist, Senior (Customer/Client)",Veho,Remote,,,2023-07-13 22:11:44,https://www.indeed.com/rc/clk?jk=957040fbb5b8d090&fccid=578c2ce08a4e9823&vjs=3
d599cdbfee9d6452,Data Scientist,VitalCORE,Remote,,Estimated $108K - $137K a year,2023-07-13 22:11:49,https://www.indeed.com/rc/clk?jk=d599cdbfee9d6452&fccid=439e38baa53886a3&vjs=3
ab2c7a7b0437594e,Data Scientist (French Reading And Writing),Source Mantra,"New York, NY",,,2023-07-13 22:11:55,https://www.indeed.com/company/Source-Mantra/jobs/Data-Scientist-ab2c7a7b0437594e?fccid=b65445b262770b09&vjs=3
6e3e556c5751a023,Python Data Scientist,konnectingtree.Inc,"Minneapolis, MN 55435",,,2023-07-13 22:12:01,https://www.indeed.com/company/Konnectingtree.Inc/jobs/Data-Scientist-6e3e556c5751a023?fccid=374491d16f82796a&vjs=3
a4ffd1bb2bb5ab40,Sr Data Scientist,Public Storage,"Glendale, CA",,,2023-07-13 22:12:07,https://www.indeed.com/rc/clk?jk=a4ffd1bb2bb5ab40&fccid=212b3e869c8a74cb&vjs=3
7ed78e91314de15c,Data Scientist,Vinformatix,Remote,,Estimated $90.4K - $114K a year,2023-07-13 22:12:11,https://www.indeed.com/company/Vinformatix/jobs/Data-Scientist-7ed78e91314de15c?fccid=f872886c13254618&vjs=3
d850e0d1ec3b6faa,"Sr Data Scientist - Digital AI - Hybrid - Seattle, Los Angeles, Denver, Chicago, or Atlanta",Nordstrom Inc,"Chicago, IL",,,2023-07-13 22:12:17,https://www.indeed.com/rc/clk?jk=d850e0d1ec3b6faa&fccid=68ce5c21322a81a4&vjs=3
6dad5271166f52f0,Data Scientist,Munich Re America,"New York, NY",,,2023-07-13 22:12:23,https://www.indeed.com/rc/clk?jk=6dad5271166f52f0&fccid=d4448c192a012f32&vjs=3
d9debbb3688010f7,Data Scientist,Nu Skin,"Provo, UT 84601 
(Central Business District area)",,Estimated $96.4K - $122K a year,2023-07-13 22:12:27,https://www.indeed.com/rc/clk?jk=d9debbb3688010f7&fccid=36a6e2acf62ee4ca&vjs=3
4c026bcabff3a87b,Data Scientist,Montana State University,"Bozeman, MT",,,2023-07-13 22:12:33,https://www.indeed.com/rc/clk?jk=4c026bcabff3a87b&fccid=2d17a4df6e9b046f&vjs=3
feaff734fa4562d1,Senior Data Scientist | Remote-US,"IXIS, LLC","Remote in Burlington, VT 05401",,Estimated $154K - $195K a year,2023-07-13 22:12:37,https://www.indeed.com/rc/clk?jk=feaff734fa4562d1&fccid=d81bbfe26fad932d&vjs=3
6820f1ca945980d2,Data Scientist,COEADAPT INC.,Remote,,Estimated $112K - $142K a year,2023-07-13 22:12:42,https://www.indeed.com/rc/clk?jk=6820f1ca945980d2&fccid=cb38590cc4540988&vjs=3
c1646daed40ebbd5,Data Scientist,TBC Corporation,"Palm Beach Gardens, FL 33410",,Estimated $65.2K - $82.5K a year,2023-07-13 22:12:46,https://www.indeed.com/rc/clk?jk=c1646daed40ebbd5&fccid=5cae1fa047211443&vjs=3
e9c17ec0edef51fe,Senior Data Scientist,GloComms,Texas,,Estimated $130K - $164K a year,2023-07-13 22:12:51,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ac1dQX5O4bM0SP6UJQV27qUKlsnOLo2dFi0v4Kq4pXXbjTLEo__hQoJuK7RWb7ERgEeeaNRXxozGz_lN-PRpd3fvRXmDrgz_ca_T4BX98_aXyuVjCVxhrToJWQVs5AlWTSQ9KIg9WbGJSrNQv5EWclWg3vRX1NtJTYN8Lv_melJAgZergBup0oAYGOe0nU1xLI1N58chsQRul3H05ZROwo4NSBq4riyu9X8WAgW1AmL6TuD2_bl6oPR604d4R6wx57LEfuIMDxthHe8xN9ciYlIaG_C8mCxyBA47n3KZ5aUdON_Bs6vQhkg7vrfefflWSxaROeWN-b3rZZyyhzdvsnhdzCSfKnibSBBN5q4RKNrp-3yaa4OLDcbmmxKLwdXC33rSRCnZwyFHcTGO2cib-27SAK5Quj_58BdZbsODqaJ3c3s2jfB7d9peklG4MGj9csthuuTTBoK9hmsWO-capR7ZeH95GXwPDe4QTea5GTLYqjJFHDAGmyYtBGD8IteBBN7Ovao4kmgQt2h89U5dNmeA1SM1ge7QxMv-0c7Wh97_lDclMlYGse4p0BNUmSTSiMrn_eaeG4fIRKT09XOd7mv4QZRJwBh7PQb3yhS9a1EQ==&xkcb=SoBe-_M3NpSJD1wlbx0IbzkdCdPP&p=0&fvj=0&vjs=3
c9be271ec1753e51,Data Scientist,Truth Initiative,"Washington, DC 20001 
(Penn Quarter area)",,Estimated $104K - $132K a year,2023-07-13 22:12:55,https://www.indeed.com/rc/clk?jk=c9be271ec1753e51&fccid=3da569ef4f168e3d&vjs=3
e7ba236437c941c9,Data Scientist,Harvard University,"Hybrid remote in Boston, MA",,,2023-07-13 22:13:01,https://www.indeed.com/rc/clk?jk=e7ba236437c941c9&fccid=5507a64404691526&vjs=3
30e79605a2df7d8d,"Senior Data Scientist, Product",Thumbtack,"Remote in San Francisco, CA 94103",,Estimated $151K - $191K a year,2023-07-13 22:13:05,https://www.indeed.com/rc/clk?jk=30e79605a2df7d8d&fccid=7a4ceaf20cd03b82&vjs=3
7632768fa67d6872,Data Scientist,DLCP,"Washington, DC 20024 
(Southwest Waterfront area)",,,2023-07-13 22:13:12,https://www.indeed.com/rc/clk?jk=7632768fa67d6872&fccid=832c358f743ad4eb&vjs=3
9fc7bbf2151b955e,Senior Data Scientist,Brightside Health,Remote,,Estimated $134K - $170K a year,2023-07-13 22:13:16,https://www.indeed.com/rc/clk?jk=9fc7bbf2151b955e&fccid=bc2f44186a16a5de&vjs=3
963051612cc4b92a,Associate Data Scientist,Northwell Health,"Manhasset, NY 11030",,,2023-07-13 22:13:22,https://www.indeed.com/rc/clk?jk=963051612cc4b92a&fccid=6f31e2074a3d8a7b&vjs=3
f162a6b81d25bc35,Data Scientist,Camden Coalition of Healthcare,"Hybrid remote in Camden, NJ 08102",,,2023-07-13 22:13:28,https://www.indeed.com/rc/clk?jk=f162a6b81d25bc35&fccid=0ce91f44f4693baf&vjs=3
4ce85b280bb2c908,Senior Data Scientist,Artera,"Remote in Los Angeles, CA",,Estimated $128K - $162K a year,2023-07-13 22:13:32,https://www.indeed.com/rc/clk?jk=4ce85b280bb2c908&fccid=549e8ec12e61cc81&vjs=3
