,id,title,company,location,job_type,salary,url
270,d75a88d083662a6f,Senior Data Scientist / ORSA,Peraton,"Fort Meade, MD 20755",Full-time,"$146,000 - $234,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWrJOJIc9CpN6yMpv0V0AydpTkzwx7H4nhH8WAx3qz9DFPmyzxY6nkpvoqD-A7XLsQQK1dJMZWuNORsneqr0hjzM4L4uYSgg88As-DbjquXr-G-8XvZrdXQTKG3XBpuMs0BkMMq9UIWscGrFgGPwXyPNeA8GNrPicmI0AD7GvA_R3Am2_tfBY0mdn0gI3FkMbEQ_KKcFeD-KxznIavNiBwqs9SFvuB9PBDNi4rlIq1_hCPYrwBWZFalDNB-5zWQvNzc-RM__PI9YiqvR92GtHZ-QKES2Ho2E3M4swAPsRAmFXL-gtyt0dGo4GwSmOn4AmEfjhVImwoTct_NssNqjf1unE1V4D3QkWNsPO1z3bC1p7ybDK4qyXAa4mgY4vZdrxnPuS19tSp6swteN2N4gKkXKrY7DJUdrXhmipKTQJuBuE2bWKFpGnInhigCmG_6oW_wlcABPqhAzd6UGXUQdcXHgkivm-yIxYjprbivHP1mWtVbPHTd7vNFGEs_wEJygRAT4w-6_su7myhmH0ztUp6qaFLfzw5T37TuX7pFwqLDgcN58a8J4Grcwinf6_tWvVlNURfwejFd7VSF257MA8IVVArhraAVYJcG9z7j4ltmc2ofAPjeBX1g9-M1KHo7LqYOTZEUXlIm9DAwdFa6kt1OfFPZjZXHVdz-oCuj0MRkbSa0B-oviB31HUr2hhSgSQNquINciTK6MOwc7cZW8IEJl1yYQcYp_qzKuhxwZVtlu4jP2Qy_GQD-Qj9jgQoUwVjzSCmdkpjwz7MCyAXoxpwPfXg0SVmnjvEesi26LE0gGIzcViqUAryRM8b5cCPUuY_qc5X3DvCXryPfhv-rwtGSM7x2_ymcjmVCfcu6h3AbQ==&xkcb=SoBT-_M3Nem0cszA4R0LbzkdCdPP&p=0&fvj=0&vjs=3
271,9890b5593dc66ae9,Healthcare Statistician,Infectious Disease Solutions,"Hybrid remote in Homewood, IL 60430",Part-time,$30 - $35 an hour,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B8lm2lE6RVuz8rcuRmikFuHTIhBjmXi-hhI78oy1ejicilZ7KaKguMb4_iRsEo6QoUlAC3ciqmSvus0dSbPKJsQ7adPPGGqG5jTzL7-yjLY-H4rNB_FrI98r6mYTaN3izJ0vhBtJKifZISg_7oPXRfL6gHOeJfchapINzscYlRP960PGMHuBh7YLSafLsArg7AlLF1vw6JbIXCN8-iPzh479uK3UQuPyv2c6JlF3ZavwR-dLkBi9uHXg6-TcnmNKCb7kAZ8ucdsgOYWQD4jCTk-E_PvClXV2NJOy5_FtfS6lOFnL9MIZpTx7aCBFTtnxEfog4Ig86xTBVlGiWWv8h_BfMubjLFxpNMIQ_ST9LFfnFXvlFSmRaQDMxJGEqyf_s5XLUhYWunDsnf4FZp4h-rsaeySB0jJCs3_rhm32ddoCPUGocr0LyHiLaQXW1UihEIgO7NhN627oXLXRH612rMrlXU7xcWTwug-cco3GqVr7rh3G59GrSyIPYcwXoyBpQXcMPi5S1tUkbAnwIZF1-v&xkcb=SoDn-_M3Nem0cszA4R0KbzkdCdPP&p=1&fvj=1&vjs=3
272,1c92fc455309d3cd,Data Science Software Engineer,Schneider,"Green Bay, WI 54301 
(Downtown area)",,,https://www.indeed.com/rc/clk?jk=1c92fc455309d3cd&fccid=e9c03ea5ebfe14ae&vjs=3
273,66a32f05b9da6c08,Athletics Statistician,Brown University,"Providence, RI 02912 
(College Hill area)","Part-time
+1",Estimated $42.3K - $53.6K a year,https://www.indeed.com/rc/clk?jk=66a32f05b9da6c08&fccid=f9fa79636b191cd1&vjs=3
274,be84061491ec2020,Power Platform Developer - Data Scientist,SMX,"Remote in Fairfax, VA",,,https://www.indeed.com/rc/clk?jk=be84061491ec2020&fccid=f65dc27fae2e9bf3&vjs=3
275,04cf4afc4d28efa6,Sr Staff Data Scientist - ATG,ServiceNow,"Santa Clara, CA 95054",Full-time,"$184,700 - $323,300 a year",https://www.indeed.com/rc/clk?jk=04cf4afc4d28efa6&fccid=7442885bc0fa7c14&vjs=3
276,e6b3170bc950ac8a,Sr Machine Learning Engineer,Attain.ai,Remote,Full-time,"$55,000 - $75,000 a year",https://www.indeed.com/company/Attain.ai/jobs/Machine-Learning-Engineer-e6b3170bc950ac8a?fccid=08ea30bb0e26e0e1&vjs=3
277,ef39a70a0d068e92,Data Team Lead,QinetiQ US,"Washington, DC",,Estimated $125K - $159K a year,https://www.indeed.com/rc/clk?jk=ef39a70a0d068e92&fccid=dd616958bd9ddc12&vjs=3
278,2712f8115914df35,"Associate Engineer, Data Science (IMPACT)",Universities Space Research Association,"Huntsville, AL 35805",Full-time,Estimated $76.2K - $96.5K a year,https://www.indeed.com/rc/clk?jk=2712f8115914df35&fccid=863616e2a9258604&vjs=3
279,57c4b03c4c44ab3d,Data Science Product Experience Manager,HP,"Fort Collins, CO 80528",Full-time,"$101,500 - $147,200 a year",https://www.indeed.com/rc/clk?jk=57c4b03c4c44ab3d&fccid=1b866506aec22461&vjs=3
