,id,title,company,location,job_type,salary,url
86,d9b4a1bd3805a734,Performance Engineer,Apple,"Cupertino, CA",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=d9b4a1bd3805a734&fccid=c1099851e9794854&vjs=3
87,eb27bdf462f34647,Data Engineer,McLane Company,"Temple, TX 76508",Full-time,"$90,000 - $110,000 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=eb27bdf462f34647&fccid=718dbe92864688ab&vjs=3
88,3f73c175a2686143,"Associate Director, Data Science and AI Operations",Alcon,"Fort Worth, TX",Full-time,"$153,520 - $230,280 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=3f73c175a2686143&fccid=a59cf55b5265bc75&vjs=3
89,3638ee859774007e,Data Analyst - Senior,University of Arkansas,"Little Rock, AR",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=3638ee859774007e&fccid=ee2f4bc11785683c&vjs=3
90,cd3277aade8df1c8,Senior Principal Scientist - Machine Learning Protein Design,Bristol Myers Squibb,"San Diego, CA 92121 
(University City area)",,,https://www.indeed.comhttps://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C8DhssTksZ4tAWhh8LVIFF2qionQVVpONm6qYGpiaOiReQCnL4QXii0y1yClg9ELctTJvdR2H0Ux-p1kmf_Gmry4Caoi5rylLDCBfmfwyABDSB4r5yw7GHltL-mkdIzET7kEahw6e20MT4lOvi6_33w09lpC4_FsnPgjbKEIIce6psmjAEx4ZTR1Mw0JPK_jRTn7py46e4v7bWN8TCF9D7xgSkKDhiWXP5dEbAOhp8oUyqVJ8qR37mR9LNUt3DwhcO-ypqTX-c87OtsGd-r4-nE5ZYPeQJmTk1A80HLhMeXMHE1LOMM_E4LcYwU3WdQIh2PO8PD9-RgkRnS9kfp4dmwSxLKA8czlhUoB_Ef_bEh2Ffrz_w6gbfB1WvF5RZ21lVw4jcnss7W-DOd6EidkTPWn4JcJijaX-Rl1ZexOUDVO2hwRIm_hL0XhvFLzf2g-5xa-RB_5KWaIGhJ6TUY76br4xR_RmmW_LN_LLWAi5SX2Hso3fU9fV5aZpMocfpPJ0WA6HEHve4Inf9Odb4QWwHT9MXhF0ku1Xrv0duIC_Bn0I2Bb80Y6eNfCfGBYp9cjgNe4MSFBaqqLXbh8ATpqfU9n5xPJCFkkYIcxCRfQM7iB_zLA-IP3241Jk30calb5-45EIypxw8dc1CBh-VV34guSpTGYpBNzr5fBzkgVeuICcJsbbUBZ34Jj3X0BhIofSgnxqcs7XrB0kEgmiN4M0KJyl0cthscRHehEvtIuieCi7GIrPWbEDFU6hj1ifENf-W9Mdkb0_hdoAAGMoDFq7VcDHYnmkMvAO8VExbBzWKTgpvXlQ0nBkH_93rRJidMbxhnNOU2M0q-Q==&xkcb=SoD_-_M3NXrRNdzA4R0LbzkdCdPP&p=0&fvj=0&vjs=3
91,f9f2fdc6e95bbb39,Senior Lead Data Analyst,UST,"Hybrid remote in Quincy, MA",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=f9f2fdc6e95bbb39&fccid=810178099fb1fcbc&vjs=3
92,528d60e0ed199c85,"DATA ANALYST SR, FCH - ENTERPRISE ANALYTICS",Froedtert Health,Remote,Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=528d60e0ed199c85&fccid=3cad680bb4cf78ee&vjs=3
93,f5477ea7a78cd3e4,Sr Data Engineer - Payments and Billing,"The Travelers Companies, Inc.","Hartford, CT",Full-time,"$130,200 - $214,900 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=f5477ea7a78cd3e4&fccid=614604a6208fa23b&vjs=3
94,a2d38f62c2fed974,AI Fellow,Distyl AI,"San Francisco, CA",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=a2d38f62c2fed974&fccid=dd616958bd9ddc12&vjs=3
95,1afbbfb8931b5303,Senior Data Governance Analyst (Gen AI Model Data Specialty)),Inclusively,"New York, NY 10010 
(NoMad area)",Full-time,"$132,500 - $197,500 a year",https://www.indeed.comhttps://www.indeed.com/company/Inclusively/jobs/Senior-Data-Analyst-1afbbfb8931b5303?fccid=ef49cdc7b08c5254&vjs=3
96,ee4626b282892221,Senior Data Analyst,QinetiQ US,"Washington, DC",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=ee4626b282892221&fccid=dd616958bd9ddc12&vjs=3
97,f67922279d9aa480,Data Scientist III - Veterans Health Administration,Qlarant,"Washington, DC",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=f67922279d9aa480&fccid=5eec33f26f1eb531&vjs=3
98,c30f099813d5eabb,Senior AI Data Engineer (USA REMOTE),"Turnitin, LLC","Remote in Oakland, CA 94612",Full-time,"$108,308 - $180,514 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=c30f099813d5eabb&fccid=3243257922dae709&vjs=3
99,e545ebf7e41eda02,AI Software Development Engineer,"Augmented Intelligence, Inc.",Remote,"Full-time
+1","$100,000 - $128,000 a year","https://www.indeed.comhttps://www.indeed.com/company/Augmented-Intelligence,-Inc./jobs/Software-Engineer-e545ebf7e41eda02?fccid=a2c243bf24225a73&vjs=3"
100,9f18ebd2656fcfc4,Sr. Data Analyst,"Ishpi Information Technologies, Inc","San Diego, CA 92152 
(Wooded Area area)",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=9f18ebd2656fcfc4&fccid=e9386eeddce2ca58&vjs=3
101,7c86c75526927168,Sr. Data Analyst - Investment Management,Resolution Life,"West Chester, PA",Full-time,"$125,944 - $142,500 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=7c86c75526927168&fccid=de73bca49cae896e&vjs=3
102,f1a03054dd29b166,Sr Data Scientist- Business Banking Analytics,Citizens,"Johnston, RI 02919",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=f1a03054dd29b166&fccid=e4c6a8c0c5c093b0&vjs=3
